X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-18.288, -34.607, 0, -60.403, -21.443, 52, 12, 12, 1
-17.788, -40.107, 0, -60.974, 140.06, 52, 12, 12, 1
-17.788, -39.607, 0, -60.92, 5.409, 52, 12, 12, 1
-17.788, -39.107, 0, -60.865, -133.78, 52, 12, 12, 1
-17.788, -38.607, 0, -60.81, 82.421, 52, 12, 12, 1
-17.788, -38.107, 0, -60.755, -66.068, 52, 12, 12, 1
-17.788, -37.607, 0, -60.7, 140.68, 52, 12, 12, 1
-17.788, -37.107, 0, -60.645, -17.423, 52, 12, 12, 1
-17.788, -36.607, 0, -60.589, 179.55, 52, 12, 12, 1
-17.788, -36.107, 0, -60.533, 11.522, 52, 12, 12, 1
-17.788, -35.607, 0, -60.476, -161.6, 52, 12, 12, 1
-17.788, -35.107, 0, -60.42, 20.11, 52, 12, 12, 1
-17.788, -34.607, 0, -60.363, -163.44, 52, 12, 12, 1
-17.288, -40.107, 0, -60.937, -61.496, 52, 12, 12, 1
-17.288, -39.607, 0, -60.883, 168.68, 52, 12, 12, 1
-17.288, -39.107, 0, -60.828, 34.348, 52, 12, 12, 1
-17.288, -38.607, 0, -60.773, -104.57, 52, 12, 12, 1
-17.288, -38.107, 0, -60.717, 111.86, 52, 12, 12, 1
-17.288, -37.607, 0, -60.662, -36.451, 52, 12, 12, 1
-17.288, -37.107, 0, -60.606, 170.42, 52, 12, 12, 1
-17.288, -36.607, 0, -60.55, 12.399, 52, 12, 12, 1
-17.288, -36.107, 0, -60.493, -150.6, 52, 12, 12, 1
-17.288, -35.607, 0, -60.437, 41.333, 52, 12, 12, 1
-17.288, -35.107, 0, -60.38, -131.88, 52, 12, 12, 1
-17.288, -34.607, 0, -60.323, 49.681, 52, 12, 12, 1
-16.788, -40.107, 0, -60.901, 91.705, 52, 12, 12, 1
-16.788, -39.607, 0, -60.846, -33.272, 52, 12, 12, 1
-16.788, -39.107, 0, -60.79, -162.73, 52, 12, 12, 1
-16.788, -38.607, 0, -60.735, 63.268, 52, 12, 12, 1
-16.788, -38.107, 0, -60.679, -75.368, 52, 12, 12, 1
-16.788, -37.607, 0, -60.623, 141.29, 52, 12, 12, 1
-16.788, -37.107, 0, -60.567, -6.8389, 52, 12, 12, 1
-16.788, -36.607, 0, -60.511, -159.84, 52, 12, 12, 1
-16.788, -36.107, 0, -60.454, 42.219, 52, 12, 12, 1
-16.788, -35.607, 0, -60.397, -120.76, 52, 12, 12, 1
-16.788, -35.107, 0, -60.34, 71.143, 52, 12, 12, 1
-16.788, -34.607, 0, -60.282, -102.16, 52, 12, 12, 1
-16.288, -40.107, 0, -60.864, -120.42, 52, 12, 12, 1
-16.288, -39.607, 0, -60.809, 119.47, 52, 12, 12, 1
-16.288, -39.107, 0, -60.753, -5.0827, 52, 12, 12, 1
-16.288, -38.607, 0, -60.697, -134.16, 52, 12, 12, 1
-16.288, -38.107, 0, -60.641, 92.167, 52, 12, 12, 1
-16.288, -37.607, 0, -60.585, -46.183, 52, 12, 12, 1
-16.288, -37.107, 0, -60.528, 170.71, 52, 12, 12, 1
-16.288, -36.607, 0, -60.471, 22.768, 52, 12, 12, 1
-16.288, -36.107, 0, -60.414, -130.09, 52, 12, 12, 1
-16.288, -35.607, 0, -60.357, 72.039, 52, 12, 12, 1
-16.288, -35.107, 0, -60.299, -90.916, 52, 12, 12, 1
-16.288, -34.607, 0, -60.241, 100.95, 52, 12, 12, 1
-15.788, -40.107, 0, -60.827, 22.058, 52, 12, 12, 1
-15.788, -39.607, 0, -60.771, -93.167, 52, 12, 12, 1
-15.788, -39.107, 0, -60.716, 147.2, 52, 12, 12, 1
-15.788, -38.607, 0, -60.659, 23.07, 52, 12, 12, 1
-15.788, -38.107, 0, -60.603, -105.62, 52, 12, 12, 1
-15.788, -37.607, 0, -60.546, 121.05, 52, 12, 12, 1
-15.788, -37.107, 0, -60.489, -17.013, 52, 12, 12, 1
-15.788, -36.607, 0, -60.432, -159.88, 52, 12, 12, 1
-15.788, -36.107, 0, -60.375, 52.37, 52, 12, 12, 1
-15.788, -35.607, 0, -60.317, -100.36, 52, 12, 12, 1
-15.788, -35.107, 0, -60.259, 101.86, 52, 12, 12, 1
-15.788, -34.607, 0, -60.201, -61.072, 52, 12, 12, 1
-19.288, -34.28, 0, -60.447, 101.7, 52, 12, 12, 1
-19.288, -33.78, 0, -60.39, -106, 52, 12, 12, 1
-19.288, -33.28, 0, -60.334, 40.749, 52, 12, 12, 1
-19.288, -32.78, 0, -60.277, -178.15, 52, 12, 12, 1
-19.288, -32.28, 0, -60.219, -42.795, 52, 12, 12, 1
-19.288, -31.78, 0, -60.162, 86.735, 52, 12, 12, 1
-19.288, -31.28, 0, -60.104, -149.66, 52, 12, 12, 1
-19.288, -30.78, 0, -60.045, -32.062, 52, 12, 12, 1
-19.288, -30.28, 0, -59.987, 79.423, 52, 12, 12, 1
-19.288, -29.78, 0, -59.928, -175.3, 52, 12, 12, 1
-19.288, -29.28, 0, -59.868, -76.324, 52, 12, 12, 1
-19.288, -28.78, 0, -59.808, 16.248, 52, 12, 12, 1
-18.788, -34.28, 0, -60.407, -27.496, 52, 12, 12, 1
-18.788, -33.78, 0, -60.35, 129.86, 52, 12, 12, 1
-18.788, -33.28, 0, -60.293, -78.323, 52, 12, 12, 1
