X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288,-44.366,0,-55.424,179.51,2139,220,220,7
-19.288,-43.866,0,-52.675,-58.867,2140,221,221,7
-19.288,-43.366,0,-75.348,15.308,2139,219,219,6
-19.288,-42.866,0,-54.127,22.875,2140,210,210,5
-19.288,-42.366,0,-56.488,102.07,2139,206,206,4
-19.288,-41.866,0,-50.825,-170.88,2139,206,206,4
-19.288,-41.366,0,-54.525,-63.607,2139,215,215,6
-19.288,-40.866,0,-63.014,-112.29,2139,211,211,6
-19.288,-40.366,0,-61.486,138.12,2140,211,211,6
-18.788,-44.366,0,-52.07,56.042,2140,221,221,7
-18.788,-43.866,0,-56.423,134.46,2139,220,220,7
-18.788,-43.366,0,-64.286,-70.698,2140,221,221,7
-18.788,-42.866,0,-54.316,-123.47,2139,219,219,6
-18.788,-42.366,0,-52.662,-1.3969,2140,210,210,5
-18.788,-41.866,0,-54.863,60.136,2139,209,209,5
-18.788,-41.366,0,-53.608,178.19,2139,206,206,4
-18.788,-40.866,0,-74.344,-57.001,2139,207,207,5
-18.788,-40.366,0,-54.563,-140.52,2139,211,211,6
-18.288,-44.366,0,-50.973,-103.77,2142,217,217,6
-18.288,-43.866,0,-59.078,30.454,2140,218,218,6
-18.288,-43.366,0,-59.731,48.482,2139,220,220,7
-18.288,-42.866,0,-56.047,75.799,2140,221,221,7
-18.288,-42.366,0,-50.938,-141.49,2139,219,219,6
-18.288,-41.866,0,-56.508,-33.09,2140,210,210,5
-18.288,-41.366,0,-56.022,19.234,2139,209,209,5
-18.288,-40.866,0,-72.285,-170.51,2139,206,206,4
-18.288,-40.366,0,-55.536,90.706,2139,207,207,5
-17.788,-44.366,0,-49.55,71.936,2141,217,217,6
-17.788,-43.866,0,-60.294,-103.75,2142,217,217,6
-17.788,-43.366,0,-58.335,-169.9,2140,218,218,6
-17.788,-42.866,0,-55.628,-33.687,2139,220,220,7
-17.788,-42.366,0,-51.038,55.139,2139,220,220,7
-17.788,-41.866,0,-54.46,-163.08,2139,220,220,7
-17.788,-41.366,0,-66.633,-128.76,2140,220,220,6
-17.788,-40.866,0,-59.412,-52.391,2139,209,209,5
-17.788,-40.366,0,-53.971,-38.405,2139,209,209,5
-17.288,-44.366,0,-57.787,-87.395,2141,216,216,5
-17.288,-43.866,0,-57.08,47.943,2141,216,216,5
-17.288,-43.366,0,-52.905,9.7739,2142,217,217,6
-17.288,-42.866,0,-51.911,160.65,2139,217,217,6
-17.288,-42.366,0,-55.452,-82.087,2139,217,217,6
-17.288,-41.866,0,-53.434,29.794,2140,220,220,7
-17.288,-41.366,0,-67.206,-19.937,2139,220,220,7
-17.288,-40.866,0,-55.084,132.14,2139,219,219,6
-17.288,-40.366,0,-56.058,-136.89,2139,209,209,5
-16.788,-44.366,0,-58.547,116.88,2141,214,214,4
-16.788,-43.866,0,-58.748,87.22,2141,216,216,5
-16.788,-43.366,0,-57.109,-175.26,2142,217,217,5
-16.788,-42.866,0,-48.673,-7.1066,2142,217,217,6
-16.788,-42.366,0,-55.953,124.83,2139,217,217,6
-16.788,-41.866,0,-62.287,-174.05,2139,217,217,6
-16.788,-41.366,0,-77.692,-87.094,2140,217,217,6
-16.788,-40.866,0,-51.429,-30.904,2139,220,220,7
-16.788,-40.366,0,-53.045,96.418,2139,219,219,6
-19.288,-40.107,0,-47.809,-121.85,2139,209,209,5
-19.288,-39.607,0,-52.139,-60.739,2139,209,209,5
-19.288,-39.107,0,-53.3,-25.653,2141,208,208,4
-19.288,-38.607,0,-54.732,59.627,2141,208,208,4
-19.288,-38.107,0,-66.233,-10.528,2141,208,208,4
-19.288,-37.607,0,-57.812,76.806,2142,209,209,4
-19.288,-37.107,0,-65.443,-27.501,2141,212,212,5
-19.288,-36.607,0,-55.469,72.681,2141,212,212,5
-19.288,-36.107,0,-59.622,132.35,2141,212,212,5
-19.288,-35.607,0,-55.994,66.602,2141,212,212,5
-19.288,-35.107,0,-55.128,125.45,2141,208,208,4
-19.288,-34.607,0,-68.753,-161.84,2141,208,208,4
-18.788,-40.107,0,-52.818,125.62,2140,213,213,7
-18.788,-39.607,0,-49.975,-119.75,2139,209,209,5
-18.788,-39.107,0,-56.584,-80.397,2139,209,209,5
-18.788,-38.607,0,-57.812,-59.392,2141,209,209,5
-18.788,-38.107,0,-66.266,86.611,2141,208,208,4
-18.788,-37.607,0,-56.891,-39.153,2141,208,208,4
-18.788,-37.107,0,-61.303,44.126,2142,209,209,4
-18.788,-36.607,0,-55.604,-9.0131,2141,212,212,5
-18.788,-36.107,0,-54.215,67.242,2141,212,212,5
-18.788,-35.607,0,-62.881,90.59,2141,212,212,5
-18.788,-35.107,0,-53.394,70.189,2141,212,212,5
-18.788,-34.607,0,-56.241,135.37,2141,210,210,5
-18.288,-40.107,0,-53.387,85.335,2139,219,219,7
-18.288,-39.607,0,-53.554,105.45,2140,211,211,6
-18.288,-39.107,0,-56.026,-96.691,2139,209,209,5
-18.288,-38.607,0,-65.221,-146.49,2139,209,209,5
-18.288,-38.107,0,-61.301,-111.6,2141,209,209,5
-18.288,-37.607,0,-57.855,-152.95,2141,208,208,4
-18.288,-37.107,0,-53.803,-52.179,2142,209,209,4
-18.288,-36.607,0,-60.624,-28.792,2141,208,208,4
-18.288,-36.107,0,-51.991,-5.2568,2141,208,208,4
-18.288,-35.607,0,-54.317,55.825,2141,212,212,5
-18.288,-35.107,0,-58.955,37.433,2141,212,212,5
-18.288,-34.607,0,-52.031,71.992,2141,212,212,5
-17.788,-40.107,0,-55.529,-35.733,2139,206,206,4
-17.788,-39.607,0,-68.151,151.34,2139,211,211,6
-17.788,-39.107,0,-59.97,76.487,2140,211,211,6
-17.788,-38.607,0,-54.173,-18.256,2139,211,211,6
-17.788,-38.107,0,-59.501,114.01,2139,209,209,5
-17.788,-37.607,0,-58.688,170.42,2141,209,209,5
-17.788,-37.107,0,-51.581,-151.76,2141,208,208,4
-17.788,-36.607,0,-53.231,-69.064,2142,209,209,4
-17.788,-36.107,0,-54.52,-64.851,2142,209,209,4
-17.788,-35.607,0,-49.996,-8.971,2141,208,208,4
-17.788,-35.107,0,-55.06,33.087,2141,212,212,5
-17.788,-34.607,0,-54.042,18.554,2141,212,212,5
-17.288,-40.107,0,-55.911,164.69,2139,209,209,5
-17.288,-39.607,0,-61.01,98.083,2139,209,209,5
-17.288,-39.107,0,-54.19,-133.43,2140,210,210,5
-17.288,-38.607,0,-61.344,-82.479,2140,219,219,7
-17.288,-38.107,0,-48.69,-4.8379,2139,211,211,6
-17.288,-37.607,0,-54.805,75.477,2141,209,209,5
-17.288,-37.107,0,-53.546,132.58,2141,209,209,5
-17.288,-36.607,0,-49.502,-158.13,2141,208,208,4
-17.288,-36.107,0,-54.022,-96.194,2142,209,209,4
-17.288,-35.607,0,-50.814,-79.908,2141,208,208,4
-17.288,-35.107,0,-49.618,-15.741,2141,208,208,4
-17.288,-34.607,0,-54.524,-1.2188,2141,212,212,5
-16.788,-40.107,0,-59.934,-45.011,2139,219,219,6
-16.788,-39.607,0,-63.849,10.712,2139,209,209,5
-16.788,-39.107,0,-49.313,95.848,2139,213,213,6
-16.788,-38.607,0,-51.224,-157.53,2139,210,210,5
-16.788,-38.107,0,-51.329,-120,2139,217,217,6
-16.788,-37.607,0,-47.341,-8.1826,2139,209,209,5
-16.788,-37.107,0,-52.611,41.713,2141,209,209,5
-16.788,-36.607,0,-51.204,110.07,2141,209,209,5
-16.788,-36.107,0,-48.606,-169.16,2141,209,209,5
