X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288, -44.366, 0, -47.307, -15.807, 4447, 123, 123, 9
-19.288, -43.866, 0, -43.119, 154.74, 4449, 1476, 1476, 18
-19.288, -43.366, 0, -43.783, -85.434, 4449, 1480, 1480, 19
-19.288, -42.866, 0, -44.683, -92.104, 4449, 1469, 1469, 18
-19.288, -42.366, 0, -45.078, 109.12, 4449, 1469, 1469, 18
-19.288, -41.866, 0, -42.134, -154.11, 4449, 1425, 1425, 14
-19.288, -41.366, 0, -46.684, -138.02, 4449, 1488, 1488, 20
-19.288, -40.866, 0, -43.386, 160.16, 4451, 1498, 1498, 22
-19.288, -40.366, 0, -45.831, 14.343, 4449, 1481, 1481, 21
-18.788, -44.366, 0, -57.972, 19.09, 4447, 155, 155, 14
-18.788, -43.866, 0, -41.622, 22.779, 4451, 1475, 1475, 20
-18.788, -43.366, 0, -40.99, 74.801, 4451, 1463, 1463, 19
-18.788, -42.866, 0, -35.765, 23.904, 4451, 1471, 1471, 21
-18.788, -42.366, 0, -32.895, -138.96, 4451, 1458, 1458, 18
-18.788, -41.866, 0, -42.618, -55.117, 4451, 1496, 1496, 21
-18.788, -41.366, 0, -36.45, 164.47, 4451, 1491, 1491, 19
-18.788, -40.866, 0, -35.676, 40.281, 4451, 1493, 1493, 20
-18.788, -40.366, 0, -38.997, -135.34, 4459, 1482, 1482, 22
-18.288, -44.366, 0, -62.146, 26.296, 4447, 131, 131, 14
-18.288, -43.866, 0, -36.171, -145.7, 4451, 1453, 1453, 19
-18.288, -43.366, 0, -34.601, -106.88, 4451, 1467, 1467, 21
-18.288, -42.866, 0, -31.579, 138.66, 4451, 1488, 1488, 21
-18.288, -42.366, 0, -35.872, -134.91, 4451, 1476, 1476, 21
-18.288, -41.866, 0, -38.422, -137.12, 4451, 1488, 1488, 23
-18.288, -41.366, 0, -34.282, 82.124, 4451, 1478, 1478, 21
-18.288, -40.866, 0, -48.473, 172.27, 4451, 1476, 1476, 19
-18.288, -40.366, 0, -40.068, -30.606, 4451, 1459, 1459, 19
-17.788, -44.366, 0, -0.96882, 65.009, 4448, 113, 113, 18
-17.788, -43.866, 0, -13.424, 106.75, 4452, 1452, 1452, 23
-17.788, -43.366, 0, -20.231, -74.945, 4452, 1472, 1472, 23
-17.788, -42.866, 0, -36.198, -142.52, 4452, 1474, 1474, 21
-17.788, -42.366, 0, -23.438, -134.91, 4452, 1482, 1482, 23
-17.788, -41.866, 0, -35.868, 120.68, 4452, 1478, 1478, 21
-17.788, -41.366, 0, -34.196, -82.288, 4452, 1481, 1481, 23
-17.788, -40.866, 0, -37.49, -5.2636, 4452, 1467, 1467, 22
-17.788, -40.366, 0, -38.926, 25.541, 4452, 1460, 1460, 20
-17.288, -44.366, 0, -15.453, -149.14, 4449, 214, 214, 20
-17.288, -43.866, 0, -18.202, 122.81, 4452, 1523, 1523, 28
-17.288, -43.366, 0, -19.813, -167.76, 4452, 1527, 1527, 31
-17.288, -42.866, 0, -23.563, 146.83, 4452, 1535, 1535, 29
-17.288, -42.366, 0, -32.276, 5.8675, 4453, 1499, 1499, 25
-17.288, -41.866, 0, -28.361, -165.72, 4453, 1511, 1511, 25
-17.288, -41.366, 0, -25.526, -9.7076, 4453, 1502, 1502, 23
-17.288, -40.866, 0, -38.875, 133.42, 4453, 1520, 1520, 26
-17.288, -40.366, 0, -29.726, -27.473, 4452, 1514, 1514, 24
-16.788, -44.366, 0, -20.692, -1.1267, 4451, 226, 226, 22
-16.788, -43.866, 0, -19.229, 64.138, 4453, 1530, 1530, 26
-16.788, -43.366, 0, -25.514, 115.22, 4452, 1511, 1511, 26
-16.788, -42.866, 0, -22.796, -163.97, 4452, 1519, 1519, 27
-16.788, -42.366, 0, -28.414, -131.5, 4452, 1501, 1501, 22
-16.788, -41.866, 0, -32.277, 66.334, 4453, 1487, 1487, 21
-16.788, -41.366, 0, -28.002, -24.557, 4453, 1478, 1478, 19
-16.788, -40.866, 0, -28.06, -119.39, 4453, 1480, 1480, 19
-16.788, -40.366, 0, -28.563, 94.128, 4453, 1485, 1485, 21
-19.288, -40.107, 0, -43.781, -102.2, 4449, 1473, 1473, 19
-19.288, -39.607, 0, -45.761, 12.023, 4451, 1476, 1476, 20
-19.288, -39.107, 0, -45.595, 106.36, 4451, 1343, 1343, 15
-19.288, -38.607, 0, -47.626, 163.64, 4451, 1400, 1400, 17
-19.288, -38.107, 0, -46.893, 174.88, 4451, 1051, 1051, 18
-19.288, -37.607, 0, -64.928, 138.4, 4451, 1244, 1244, 17
-19.288, -37.107, 0, -49.628, 138.66, 4451, 1205, 1205, 14
-19.288, -36.607, 0, -48.54, 59.201, 4451, 1219, 1219, 14
-19.288, -36.107, 0, -52.297, 38.424, 4451, 1225, 1225, 15
-19.288, -35.607, 0, -55.231, -83.989, 4451, 1222, 1222, 16
-19.288, -35.107, 0, -61.528, -164.18, 4451, 1220, 1220, 16
-19.288, -34.607, 0, -58.831, -157.31, 4451, 1224, 1224, 17
-18.788, -40.107, 0, -50.119, 31.602, 4451, 1472, 1472, 22
-18.788, -39.607, 0, -35.072, 106.95, 4453, 1465, 1465, 22
-18.788, -39.107, 0, -35.807, -173.7, 4453, 1353, 1353, 19
-18.788, -38.607, 0, -43.999, -135.96, 4453, 1241, 1241, 16
-18.788, -38.107, 0, -48.997, 136.51, 4453, 1354, 1354, 18
-18.788, -37.607, 0, -37.089, 79.74, 4453, 1252, 1252, 19
-18.788, -37.107, 0, -37.906, 21.127, 4453, 1255, 1255, 18
-18.788, -36.607, 0, -39.906, -24.042, 4453, 1232, 1232, 20
-18.788, -36.107, 0, -42.996, -105.74, 4453, 1228, 1228, 18
-18.788, -35.607, 0, -48.235, 102.77, 4453, 1240, 1240, 19
-18.788, -35.107, 0, -45.012, -64.172, 4453, 1240, 1240, 19
-18.788, -34.607, 0, -40.027, -176.36, 4453, 1224, 1224, 18
-18.288, -40.107, 0, -41.878, 128.88, 4454, 1474, 1474, 21
-18.288, -39.607, 0, -36.35, -173.55, 4453, 1494, 1494, 23
-18.288, -39.107, 0, -38.347, 142.97, 4453, 1438, 1438, 20
-18.288, -38.607, 0, -37.658, 121.95, 4453, 1250, 1250, 19
-18.288, -38.107, 0, -40.434, 1.5177, 4453, 1339, 1339, 18
-18.288, -37.607, 0, -36.377, -21.779, 4453, 1168, 1168, 18
-18.288, -37.107, 0, -44.522, -155.82, 4453, 1254, 1254, 19
-18.288, -36.607, 0, -39.003, 83.025, 4453, 1241, 1241, 17
-18.288, -36.107, 0, -37.117, -5.8728, 4453, 1232, 1232, 17
-18.288, -35.607, 0, -44.049, -100.2, 4453, 1233, 1233, 15
-18.288, -35.107, 0, -50.273, 129.79, 4453, 1299, 1299, 17
-18.288, -34.607, 0, -43.161, -178.08, 4453, 863, 863, 17
