X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288, -44.366, 0, -61.528, 166.48, 70, 12, 12, 1
-19.288, -43.866, 0, -61.477, 54.018, 70, 12, 12, 1
-19.288, -43.366, 0, -61.425, -62.486, 70, 12, 12, 1
-19.288, -42.866, 0, -61.374, 176.91, 70, 12, 12, 1
-19.288, -42.366, 0, -61.322, 52.133, 70, 12, 12, 1
-19.288, -41.866, 0, -61.269, -76.877, 70, 12, 12, 1
-19.288, -41.366, 0, -61.217, 149.81, 70, 12, 12, 1
-19.288, -40.866, 0, -61.164, 12.127, 70, 12, 12, 1
-19.288, -40.366, 0, -61.111, -130, 70, 12, 12, 1
-18.788, -44.366, 0, -61.495, -59.238, 70, 12, 12, 1
-18.788, -43.866, 0, -61.443, -167.18, 70, 12, 12, 1
-18.788, -43.366, 0, -61.391, 80.864, 70, 12, 12, 1
-18.788, -42.866, 0, -61.339, -35.164, 70, 12, 12, 1
-18.788, -42.366, 0, -61.287, -155.33, 70, 12, 12, 1
-18.788, -41.866, 0, -61.234, 80.294, 70, 12, 12, 1
-18.788, -41.366, 0, -61.181, -48.354, 70, 12, 12, 1
-18.788, -40.866, 0, -61.128, 178.65, 70, 12, 12, 1
-18.788, -40.366, 0, -61.075, 41.251, 70, 12, 12, 1
-18.288, -44.366, 0, -61.461, 69.88, 70, 12, 12, 1
-18.288, -43.866, 0, -61.409, -33.528, 70, 12, 12, 1
-18.288, -43.366, 0, -61.356, -140.92, 70, 12, 12, 1
-18.288, -42.866, 0, -61.304, 107.65, 70, 12, 12, 1
-18.288, -42.366, 0, -61.251, -7.894, 70, 12, 12, 1
-18.288, -41.866, 0, -61.199, -127.61, 70, 12, 12, 1
-18.288, -41.366, 0, -61.145, 108.42, 70, 12, 12, 1
-18.288, -40.866, 0, -61.092, -19.859, 70, 12, 12, 1
-18.288, -40.366, 0, -61.038, -152.52, 70, 12, 12, 1
-17.788, -44.366, 0, -61.427, -166.24, 70, 12, 12, 1
-17.788, -43.866, 0, -61.375, 94.906, 70, 12, 12, 1
-17.788, -43.366, 0, -61.322, -7.9029, 70, 12, 12, 1
-17.788, -42.866, 0, -61.269, -114.73, 70, 12, 12, 1
-17.788, -42.366, 0, -61.216, 134.37, 70, 12, 12, 1
-17.788, -41.866, 0, -61.163, 19.323, 70, 12, 12, 1
-17.788, -41.366, 0, -61.11, -99.941, 70, 12, 12, 1
-17.788, -40.866, 0, -61.056, 136.51, 70, 12, 12, 1
-17.788, -40.366, 0, -61.002, 8.6085, 70, 12, 12, 1
-17.288, -44.366, 0, -61.393, -47.657, 70, 12, 12, 1
-17.288, -43.866, 0, -61.34, -141.95, 70, 12, 12, 1
