X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-18.288, -35.607, 0, -48.922, -7.8195, 6978, 134, 134, 11
-18.288, -35.107, 0, -62.086, 18.043, 6975, 137, 137, 13
-18.288, -34.607, 0, -54.981, 173.23, 6972, 136, 136, 13
-17.788, -40.107, 0, -62.363, 15.731, 6974, 150, 150, 13
-17.788, -39.607, 0, -49.272, 112.56, 6974, 153, 153, 14
-17.788, -39.107, 0, -49.331, -79.394, 6973, 158, 158, 16
-17.788, -38.607, 0, -50.763, 62.402, 6973, 154, 154, 15
-17.788, -38.107, 0, -49.042, -132.66, 6973, 148, 148, 14
-17.788, -37.607, 0, -54.479, -155.87, 6973, 144, 144, 14
-17.788, -37.107, 0, -52.345, 65.151, 6973, 140, 140, 12
-17.788, -36.607, 0, -47.427, -67.493, 6973, 132, 132, 11
-17.788, -36.107, 0, -48.44, -8.2455, 6974, 137, 137, 13
-17.788, -35.607, 0, -49.417, 113.58, 6972, 132, 132, 11
-17.788, -35.107, 0, -58.948, -2.6322, 6972, 140, 140, 12
-17.788, -34.607, 0, -50.748, -17.561, 6972, 138, 138, 13
-17.288, -40.107, 0, -55.989, 62.933, 6977, 146, 146, 16
-17.288, -39.607, 0, -51.927, -146.68, 6977, 141, 141, 13
-17.288, -39.107, 0, -47.261, 16.844, 6976, 145, 145, 14
-17.288, -38.607, 0, -50.239, 131.03, 6975, 155, 155, 15
-17.288, -38.107, 0, -48.805, -88.206, 6976, 161, 161, 18
-17.288, -37.607, 0, -63.696, -108.46, 6974, 153, 153, 15
-17.288, -37.107, 0, -53.5, -136.35, 6975, 144, 144, 13
-17.288, -36.607, 0, -56.632, -56.565, 6974, 141, 141, 11
-17.288, -36.107, 0, -53.836, 55.171, 6974, 135, 135, 11
-17.288, -35.607, 0, -51.299, -115.01, 6974, 133, 133, 10
-17.288, -35.107, 0, -62.273, 59.428, 6974, 135, 135, 11
-17.288, -34.607, 0, -52.8, 75.667, 6976, 139, 139, 11
-16.788, -40.107, 0, -54.35, -88.705, 6973, 139, 139, 12
