X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288, -44.366, 0, -56.505, 169.16, 1902, 137, 137, 12
-19.288, -43.866, 0, -57.798, 4.2765, 1901, 134, 134, 13
-19.288, -43.366, 0, -55.562, -146.18, 1898, 125, 125, 13
-19.288, -42.866, 0, -53.802, 89.439, 1897, 130, 130, 11
-19.288, -42.366, 0, -64.657, -72.136, 1899, 130, 130, 11
-19.288, -41.866, 0, -60.917, 14.2, 1898, 111, 111, 10
-19.288, -41.366, 0, -62.654, -142.76, 1902, 103, 103, 10
-19.288, -40.866, 0, -57.956, -91.342, 1899, 103, 103, 10
-19.288, -40.366, 0, -70.467, -112.53, 1898, 68, 68, 9
-18.788, -44.366, 0, -59.514, -29.416, 1896, 132, 132, 13
-18.788, -43.866, 0, -56.736, 166.73, 1912, 141, 140, 21
-18.788, -43.366, 0, -58.657, 16.466, 1911, 142, 139, 20
-18.788, -42.866, 0, -60.351, -129.43, 1908, 139, 139, 24
-18.788, -42.366, 0, -54.562, 90.889, 1909, 125, 122, 20
-18.788, -41.866, 0, -59.509, -76.415, 1909, 134, 131, 18
-18.788, -41.366, 0, -56.547, 70.157, 1907, 122, 120, 19
-18.788, -40.866, 0, -53.119, -27.111, 1909, 123, 122, 18
-18.788, -40.366, 0, -54.868, -154.63, 1911, 126, 123, 19
-18.288, -44.366, 0, -60.365, 157.63, 1898, 115, 115, 12
-18.288, -43.866, 0, -57.701, 66.741, 1898, 121, 121, 12
-18.288, -43.366, 0, -61.791, -131.42, 1904, 120, 120, 13
-18.288, -42.866, 0, -58.598, 112.57, 1903, 121, 121, 13
-18.288, -42.366, 0, -71.678, -81.468, 1903, 120, 119, 15
-18.288, -41.866, 0, -55.779, 131.01, 1902, 103, 103, 12
-18.288, -41.366, 0, -66.286, -52.925, 1901, 116, 116, 11
-18.288, -40.866, 0, -56.578, 58.836, 1900, 108, 108, 10
-18.288, -40.366, 0, -62.038, -65.814, 1903, 99, 99, 12
-17.788, -44.366, 0, -57.386, 126.36, 1896, 127, 127, 13
-17.788, -43.866, 0, -61.7, 138.3, 1896, 113, 113, 11
